,BP,CVX,XOM,XOM.1,RDS.A,RDS.B,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX,DATE
148,42.6385714286,101.673333333,77.7285714286,77.7285714286,68.9404761905,70.9866666667,24.5180952381,4.1739047619,65.4419047619,15.8289473684,34.0823809524,27.0384210526,14.3805555556,,13.2966666667,,8.46947368421,20.429047619,34.8747368421,2011-11-01
149,42.3595238095,103.805238095,81.7619047619,81.7619047619,71.3085714286,73.7080952381,22.7376190476,4.83516666667,67.5314285714,15.797,34.2642857143,27.698,15.6935,,12.999,,8.6795,20.5561904762,37.184,2011-12-01
150,44.3995,107.0625,85.959,85.959,71.798,74.4265,23.0135,5.82825,69.3185,16.5305,35.8125,28.9795,15.1455,,13.0833333333,,8.9695,20.9875,38.1605,2012-01-01
151,46.8055,106.832,85.5735,85.5735,72.7605,73.7145,23.8005,7.7778,73.67,17.1973684211,37.856,29.5347368421,14.9136842105,,12.8333333333,,8.52315789474,20.415,40.0278947368,2012-02-01
152,46.3340909091,108.773636364,86.125,86.125,71.4290909091,72.1286363636,23.9813636364,7.55545454545,76.1790909091,17.349047619,38.2604545455,29.5204761905,15.0023809524,,13.2722222222,,8.05952380952,20.9959090909,41.4366666667,2012-03-01
153,42.951,103.845,85.0565,85.0565,68.9995,70.5445,24.511,6.7838,82.4795,18.7326315789,38.01,30.9568421053,15.8647368421,,14.0,,8.15210526316,20.7275,41.8247368421,2012-04-01
154,39.0890909091,101.529090909,82.8063636364,82.8063636364,65.3536363636,67.5968181818,25.0427272727,5.85318181818,80.7668181818,18.3157142857,36.3440909091,30.2857142857,15.6142857143,,13.4523809524,,8.63666666667,20.4695454545,35.8366666667,2012-05-01
155,38.5466666667,100.986190476,81.66,81.66,64.7176190476,67.1314285714,24.3735714286,5.40564285714,81.9947619048,18.7676190476,36.2123809524,30.5838095238,14.9495238095,,14.0,,8.4219047619,19.9276190476,35.2785714286,2012-06-01
156,40.7047619048,106.948571429,85.4895238095,85.4895238095,68.3261904762,70.8533333333,26.4819047619,6.5027,87.720952381,21.519047619,38.9561904762,32.05,15.249047619,,14.2147619048,,8.75619047619,22.1142857143,36.4833333333,2012-07-01
157,42.0273913043,112.022608696,87.7730434783,87.7730434783,70.3226086957,72.8456521739,25.892173913,7.28530434783,85.4391304348,21.8260869565,39.3247826087,31.1808695652,16.0539130435,,15.7634782609,,8.6552173913,23.2830434783,37.0713043478,2012-08-01
158,42.5963157895,115.608968421,90.59,90.59,71.3026315789,73.4594736842,25.4671052632,7.89014736842,89.6521052632,22.5468421053,41.0189473684,30.7805263158,19.4505263158,,33.0863157895,,8.70947368421,23.6105263158,36.2042105263,2012-09-01
159,42.2938095238,113.947414286,91.6861904762,91.6861904762,69.0585714286,70.9314285714,25.9166666667,8.59314285714,93.4904761905,23.81,45.0847619048,31.9928571429,21.3195238095,,36.3547619048,,8.73666666667,23.479047619,38.0304761905,2012-10-01
160,41.4254761905,105.678109524,88.1723571429,88.1723571429,67.3980952381,69.5271428571,24.0143333333,8.55714285714,93.1661904762,26.0252631579,49.1514285714,30.8015789474,23.2952631579,,36.8936842105,,8.24842105263,22.9647619048,39.3726315789,2012-11-01
161,41.5295,107.736,87.90632,87.90632,68.378,70.5545,23.2825,9.03532,99.412,28.1526315789,54.4875,32.2,23.8626315789,,40.7015789474,,8.45578947368,25.5185,42.2273684211,2012-12-01
162,44.0961904762,113.298571429,89.87,89.87,70.0633333333,72.0471428571,24.550952381,10.1187,106.224761905,30.750952381,60.4504761905,33.2428571429,27.320952381,,42.0838095238,,8.71857142857,27.8833333333,41.5271428571,2013-01-01
163,42.2615789474,115.609473684,88.9073684211,88.9073684211,66.8647368421,68.5194736842,23.2015789474,10.1796,111.300526316,29.2088888889,62.2952631579,32.9627777778,30.4822222222,,38.1238888889,,8.91,27.7884210526,41.1361111111,2013-02-01
164,41.0195,119.1785,89.2645,89.2645,65.881,67.7055,20.221,11.462485,110.243,30.965,58.5135,35.8816666667,29.8055555556,,38.4194444444,,8.69944444444,26.5585,39.0572222222,2013-03-01
165,41.6690909091,118.320454545,88.53,88.53,65.1768181818,66.8572727273,20.6877272727,11.3104681818,119.626818182,29.8831818182,60.43,40.0577272727,28.145,,38.3959090909,,9.12227272727,26.3786363636,39.0931818182,2013-04-01
166,43.4127272727,123.892727273,91.0690909091,91.0690909091,68.1922727273,70.4990909091,20.7631818182,11.3123181818,112.839090909,28.6419047619,54.9886363636,37.7623809524,27.4952380952,,40.370952381,,7.92619047619,26.1436363636,36.81,2013-05-01
167,42.59,120.3275,90.378,90.378,65.139,67.497,19.866,10.0816,100.235,29.2655,47.8655,36.568,26.772,,38.015,,7.533,23.8035,35.8205,2013-06-01
168,42.3572727273,124.200454545,93.3731818182,93.3731818182,66.5522727273,69.2695454545,21.1331818182,10.6564090909,101.456818182,31.9754545455,50.5786363636,40.9890909091,26.8563636364,,35.5372727273,,6.39045454545,25.4795454545,35.8677272727,2013-07-01
169,41.3854545455,121.210454545,88.9881818182,88.9881818182,64.3572727273,67.0518181818,20.4704545455,11.4615454545,99.45,35.6336363636,53.7559090909,42.1804545455,25.1754545455,,39.1945454545,,6.01863636364,27.1795454545,34.2172727273,2013-08-01
170,42.1065,123.374,87.899,87.899,65.4005,68.46,20.0955,11.0371,100.4475,36.8084210526,52.05,41.2010526316,22.6752631579,,36.63,,7.24789473684,27.718,34.2036842105,2013-09-01
171,43.1413043478,119.251347826,87.1734782609,87.1734782609,66.3713043478,69.5126086957,20.9308695652,10.4697478261,95.0652173913,35.3052173913,53.17,41.9395652174,22.0556521739,,35.9191304348,,7.19086956522,29.3456521739,33.7,2013-10-01
172,46.822,121.054,93.521,93.521,66.898,69.9205,21.8775,10.17503,91.584,35.8684210526,50.5765,41.6789473684,22.7878947368,,35.5910526316,,6.29631578947,29.752,33.2021052632,2013-11-01
