,DATE,PRODUCT,DEMAND
507,2014-02-01,TOTAL Diesel,1732061
508,2014-02-01,TOTAL Magna,2874784
509,2014-02-01,TOTAL Premium,621749
510,2014-03-01,TOTAL Diesel,1882481
511,2014-03-01,TOTAL Magna,3144835
512,2014-03-01,TOTAL Premium,672861
513,2014-04-01,TOTAL Diesel,1859330
514,2014-04-01,TOTAL Magna,3100804
515,2014-04-01,TOTAL Premium,695751
516,2014-05-01,TOTAL Diesel,1986615
517,2014-05-01,TOTAL Magna,3226225
518,2014-05-01,TOTAL Premium,714852
519,2014-06-01,TOTAL Diesel,1854101
520,2014-06-01,TOTAL Magna,2989984
521,2014-06-01,TOTAL Premium,665289
522,2014-07-01,TOTAL Diesel,1966858
523,2014-07-01,TOTAL Magna,3160984
524,2014-07-01,TOTAL Premium,731965
525,2014-08-01,TOTAL Diesel,1852644
526,2014-08-01,TOTAL Magna,3083681
527,2014-08-01,TOTAL Premium,711030
528,2014-09-01,TOTAL Diesel,1793305
529,2014-09-01,TOTAL Magna,3021818
530,2014-09-01,TOTAL Premium,697591
531,2014-10-01,TOTAL Diesel,1982490
532,2014-10-01,TOTAL Magna,3156558
533,2014-10-01,TOTAL Premium,717121
534,2014-11-01,TOTAL Diesel,1859117
535,2014-11-01,TOTAL Magna,2933844
536,2014-11-01,TOTAL Premium,692247
537,2014-12-01,TOTAL Diesel,1950003
538,2014-12-01,TOTAL Magna,3342975
539,2014-12-01,TOTAL Premium,811401
540,2015-01-01,TOTAL Diesel,1796693
541,2015-01-01,TOTAL Magna,3033384
542,2015-01-01,TOTAL Premium,734695
543,2015-02-01,TOTAL Diesel,1699867
544,2015-02-01,TOTAL Magna,2782702
545,2015-02-01,TOTAL Premium,697290
546,2015-03-01,TOTAL Diesel,1864403
547,2015-03-01,TOTAL Magna,3063543
548,2015-03-01,TOTAL Premium,758647
549,2015-04-01,TOTAL Diesel,1908525
550,2015-04-01,TOTAL Magna,3009143
551,2015-04-01,TOTAL Premium,766920
552,2015-05-01,TOTAL Diesel,1971851
553,2015-05-01,TOTAL Magna,3097112
554,2015-05-01,TOTAL Premium,774091
555,2015-06-01,TOTAL Diesel,1873930
556,2015-06-01,TOTAL Magna,2983530
557,2015-06-01,TOTAL Premium,769493
558,2015-07-01,TOTAL Diesel,2033345
559,2015-07-01,TOTAL Magna,3260844
560,2015-07-01,TOTAL Premium,863270
561,2015-08-01,TOTAL Diesel,1857821
562,2015-08-01,TOTAL Magna,3060761
563,2015-08-01,TOTAL Premium,814809
564,2015-09-01,TOTAL Diesel,1834575
565,2015-09-01,TOTAL Magna,3011599
566,2015-09-01,TOTAL Premium,817720
567,2015-10-01,TOTAL Diesel,1909772
568,2015-10-01,TOTAL Magna,3112295
569,2015-10-01,TOTAL Premium,846155
570,2015-11-01,TOTAL Diesel,1816761
571,2015-11-01,TOTAL Magna,2960237
572,2015-11-01,TOTAL Premium,810751
573,2015-12-01,TOTAL Diesel,1812300
574,2015-12-01,TOTAL Magna,3275878
575,2015-12-01,TOTAL Premium,922984
576,2016-01-01,TOTAL Diesel,1757585
577,2016-01-01,TOTAL Magna,2976133
578,2016-01-01,TOTAL Premium,833783
579,2016-02-01,TOTAL Diesel,1753380
580,2016-02-01,TOTAL Magna,2889063
581,2016-02-01,TOTAL Premium,856140
582,2016-03-01,TOTAL Diesel,1880407
583,2016-03-01,TOTAL Magna,3122683
584,2016-03-01,TOTAL Premium,963246
585,2016-04-01,TOTAL Diesel,1891314
586,2016-04-01,TOTAL Magna,2975088
587,2016-04-01,TOTAL Premium,907657
588,2016-05-01,TOTAL Diesel,1935709
589,2016-05-01,TOTAL Magna,3065466
590,2016-05-01,TOTAL Premium,962882
591,2016-06-01,TOTAL Diesel,1929630
592,2016-06-01,TOTAL Magna,3048953
593,2016-06-01,TOTAL Premium,960136
594,2016-07-01,TOTAL Diesel,1920934
595,2016-07-01,TOTAL Magna,3099501
596,2016-07-01,TOTAL Premium,980834
597,2016-08-01,TOTAL Diesel,1953961
598,2016-08-01,TOTAL Magna,3122670
599,2016-08-01,TOTAL Premium,963707
600,2016-09-01,TOTAL Diesel,1821827
601,2016-09-01,TOTAL Magna,2977276
602,2016-09-01,TOTAL Premium,941534
603,2016-10-01,TOTAL Diesel,1870870
604,2016-10-01,TOTAL Magna,3052147
605,2016-10-01,TOTAL Premium,947565
606,2016-11-01,TOTAL Diesel,1882530
607,2016-11-01,TOTAL Magna,3005693
608,2016-11-01,TOTAL Premium,942889
609,2016-12-01,TOTAL Diesel,2003017
610,2016-12-01,TOTAL Magna,3303989
611,2016-12-01,TOTAL Premium,1048690
612,2017-01-01,TOTAL Diesel,1802259
613,2017-01-01,TOTAL Magna,2939298
614,2017-01-01,TOTAL Premium,761769
