DATE,STATE,PRODUCT,DEMAND
5/1/00,HIDALGO,TOTAL Premium,4127
5/1/00,HIDALGO,TOTAL Diesel,42125
5/1/00,JALISCO,TOTAL Magna,161302
5/1/00,JALISCO,TOTAL Premium,20705
5/1/00,JALISCO,TOTAL Diesel,100193
5/1/00,MEXICO,TOTAL Magna,181225
5/1/00,MEXICO,TOTAL Premium,6665
5/1/00,MEXICO,TOTAL Diesel,73710
5/1/00,MICHOACAN,TOTAL Magna,68817
5/1/00,MICHOACAN,TOTAL Premium,9198
5/1/00,MICHOACAN,TOTAL Diesel,42181
5/1/00,MORELOS,TOTAL Magna,46783
5/1/00,MORELOS,TOTAL Premium,4358
5/1/00,MORELOS,TOTAL Diesel,15534
5/1/00,NAYARIT,TOTAL Magna,8080
5/1/00,NAYARIT,TOTAL Premium,2320
5/1/00,NAYARIT,TOTAL Diesel,3760
5/1/00,NUEVO LEON,TOTAL Magna,132140
5/1/00,NUEVO LEON,TOTAL Premium,23239
5/1/00,NUEVO LEON,TOTAL Diesel,91014
5/1/00,OAXACA,TOTAL Magna,35990
5/1/00,OAXACA,TOTAL Premium,2884
5/1/00,OAXACA,TOTAL Diesel,23941
5/1/00,PUEBLA,TOTAL Magna,96459
5/1/00,PUEBLA,TOTAL Premium,8637
5/1/00,PUEBLA,TOTAL Diesel,54480
5/1/00,QUERETARO,TOTAL Magna,54238
5/1/00,QUERETARO,TOTAL Premium,6039
5/1/00,QUERETARO,TOTAL Diesel,52502
5/1/00,SAN LUIS POTOSI,TOTAL Magna,30811
5/1/00,SAN LUIS POTOSI,TOTAL Premium,6519
5/1/00,SAN LUIS POTOSI,TOTAL Diesel,27185
5/1/00,SINALOA,TOTAL Magna,75014
5/1/00,SINALOA,TOTAL Premium,11486
5/1/00,SINALOA,TOTAL Diesel,76896
5/1/00,SONORA,TOTAL Magna,68729
5/1/00,SONORA,TOTAL Premium,5338
5/1/00,SONORA,TOTAL Diesel,70231
5/1/00,TABASCO,TOTAL Magna,40303
5/1/00,TABASCO,TOTAL Premium,1452
5/1/00,TABASCO,TOTAL Diesel,31855
5/1/00,TAMAULIPAS,TOTAL Magna,100038
5/1/00,TAMAULIPAS,TOTAL Premium,45313
5/1/00,TAMAULIPAS,TOTAL Diesel,65144
5/1/00,VERACRUZ,TOTAL Magna,105447
5/1/00,VERACRUZ,TOTAL Premium,16198
5/1/00,VERACRUZ,TOTAL Diesel,132290
5/1/00,YUCATAN,TOTAL Magna,55743
5/1/00,YUCATAN,TOTAL Premium,7279
5/1/00,YUCATAN,TOTAL Diesel,52865
5/1/00,ZACATECAS,TOTAL Magna,32405
5/1/00,ZACATECAS,TOTAL Premium,2005
5/1/00,ZACATECAS,TOTAL Diesel,17597
6/1/00,AGUASCALIENTES,TOTAL Magna,37180
6/1/00,AGUASCALIENTES,TOTAL Premium,3030
6/1/00,AGUASCALIENTES,TOTAL Diesel,23932
6/1/00,BAJA CALIFORNIA,TOTAL Magna,110812
6/1/00,BAJA CALIFORNIA,TOTAL Premium,27100
6/1/00,BAJA CALIFORNIA,TOTAL Diesel,54974
6/1/00,BAJA CALIFORNIA SUR,TOTAL Magna,17023
6/1/00,BAJA CALIFORNIA SUR,TOTAL Premium,4015
6/1/00,BAJA CALIFORNIA SUR,TOTAL Diesel,10430
6/1/00,CAMPECHE,TOTAL Magna,12866
6/1/00,CAMPECHE,TOTAL Premium,758
6/1/00,CAMPECHE,TOTAL Diesel,7930
6/1/00,CHIAPAS,TOTAL Magna,37629
6/1/00,CHIAPAS,TOTAL Premium,3632
6/1/00,CHIAPAS,TOTAL Diesel,19143
6/1/00,COAHUILA,TOTAL Magna,46252
6/1/00,COAHUILA,TOTAL Premium,4737
6/1/00,COAHUILA,TOTAL Diesel,39000
6/1/00,CHIHUAHUA,TOTAL Magna,106458
6/1/00,CHIHUAHUA,TOTAL Premium,7586
6/1/00,CHIHUAHUA,TOTAL Diesel,60034
